
 ** NOTE: This printout is only a visual guide, due to the discrepancy 
 between printing to output and actual computation this may not be accurate ** 

THREAD  |  Action    |  Current Time  |    	Status 	       |   Crossed   | Pending 
_____________________________________________________________________________________ 
   26   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     0 
    1   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     0 
   34   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     0 
   27   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     0 
    2   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     0 
   28   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     0 
    3   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     0 
   29   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     0 
    4   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     0 
   30   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     0 
    5   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     0 
   35   |  Arrival   |  23:06:39:847  |  New Baboon on Side B  |      0      |     0 
    0   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     0 
   36   |  Arrival   |  23:06:39:847  |  New Baboon on Side B  |      0      |     0 
   37   |  Arrival   |  23:06:39:847  |  New Baboon on Side B  |      0      |     0 
   38   |  Arrival   |  23:06:39:847  |  New Baboon on Side B  |      0      |     0 
   39   |  Arrival   |  23:06:39:847  |  New Baboon on Side B  |      0      |     0 
   40   |  Arrival   |  23:06:39:847  |  New Baboon on Side B  |      0      |     0 
   41   |  Arrival   |  23:06:39:847  |  New Baboon on Side B  |      0      |     0 
   42   |  Arrival   |  23:06:39:847  |  New Baboon on Side B  |      0      |     0 
    6   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     0 
    2   |  Waiting   |  23:06:39:847  |          -             |      0      |     0 
    4   |  Waiting   |  23:06:39:847  |          -             |      0      |     0 
    5   |  Waiting   |  23:06:39:847  |          -             |      0      |     1 
    7   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     1 
    8   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     2 
    9   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     2 
   10   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     2 
   11   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     2 
   12   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     2 
   13   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     3 
   14   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     3 
   15   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     3 
   16   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     3 
   17   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     3 
   18   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     3 
   19   |  Arrival   |  23:06:39:846  |  New Baboon on Side A  |      0      |     3 
   20   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     3 
   21   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     3 
    0   |  Waiting   |  23:06:39:847  |          -             |      0      |     3 
   22   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     3 
   23   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     3 
   24   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     3 
   25   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     3 
   31   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     3 
   32   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     3 
   33   |  Arrival   |  23:06:39:846  |  New Baboon on Side B  |      0      |     3 
   41   |  Waiting   |  23:06:39:847  |          -             |      0      |     3 
    6   |  Waiting   |  23:06:39:847  |          -             |      0      |     3 
    2   |  Crossing  |  23:06:39:847  |  Crossing from A -> B  |      0      |     3 
    4   |  Crossing  |  23:06:39:847  |  Crossing from A -> B  |      0      |     3 
    5   |  Crossing  |  23:06:39:847  |  Crossing from A -> B  |      0      |     3 
    9   |  Waiting   |  23:06:39:847  |          -             |      0      |     3 
   10   |  Waiting   |  23:06:39:848  |          -             |      0      |     3 
   11   |  Waiting   |  23:06:39:848  |          -             |      0      |     3 
   19   |  Waiting   |  23:06:39:848  |          -             |      0      |     3 
    0   |  Crossing  |  23:06:39:848  |  Crossing from A -> B  |      0      |     4 
   22   |  Waiting   |  23:06:39:848  |          -             |      0      |     4 
   23   |  Waiting   |  23:06:39:848  |          -             |      0      |     4 
   32   |  Waiting   |  23:06:39:848  |          -             |      0      |     4 
   41   |  Crossing  |  23:06:39:848  |  Crossing from B -> A  |      0      |     6 
    6   |  Crossing  |  23:06:39:848  |  Crossing from A -> B  |      0      |     6 
    9   |  Crossing  |  23:06:39:848  |  Crossing from A -> B  |      0      |     7 
   10   |  Crossing  |  23:06:39:848  |  Crossing from A -> B  |      0      |     9 
   11   |  Crossing  |  23:06:39:848  |  Crossing from A -> B  |      0      |     9 
   19   |  Crossing  |  23:06:39:848  |  Crossing from A -> B  |      0      |     10 
    0   |  Success   |  23:06:39:848  |   Finished crossing    |      0      |     11 
   22   |  Crossing  |  23:06:39:848  |  Crossing from B -> A  |      0      |     11 
   23   |  Crossing  |  23:06:39:848  |  Crossing from B -> A  |      0      |     13 
   32   |  Crossing  |  23:06:39:848  |  Crossing from B -> A  |      0      |     13 
   23   |  Success   |  23:06:39:848  |   Finished crossing    |      1      |     12 
   37   |  Waiting   |  23:06:40:848  |          -             |      2      |     11 
   34   |  Waiting   |  23:06:40:848  |          -             |      2      |     11 
   38   |  Waiting   |  23:06:40:848  |          -             |      2      |     12 
   40   |  Waiting   |  23:06:40:848  |          -             |      2      |     12 
   42   |  Waiting   |  23:06:40:848  |          -             |      2      |     14 
   29   |  Waiting   |  23:06:40:848  |          -             |      2      |     15 
   39   |  Waiting   |  23:06:40:848  |          -             |      2      |     16 
    8   |  Waiting   |  23:06:40:848  |          -             |      2      |     17 
   13   |  Waiting   |  23:06:40:848  |          -             |      2      |     17 
   37   |  Crossing  |  23:06:40:848  |  Crossing from B -> A  |      2      |     17 
   14   |  Waiting   |  23:06:40:848  |          -             |      2      |     18 
   34   |  Crossing  |  23:06:40:848  |  Crossing from B -> A  |      2      |     18 
